,obs_next,blockID,obs,trialID,t,is_done,reward,tot_t,action,stage,randomplanet,rewardplanet,highstate,transition,p_reward_low,p_trans,p_reward_high,p_ambiguity
34,2.0,1,0.0,18.0,1,False,0.0,35,2,0,1.0,[1. 1.],0,[2 2],0.5,[0.8 0.8],0.5,0.6
35,0.0,1,2.0,18.0,0,False,1.0,36,0,1,0.0,[1. 1.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
36,1.0,1,0.0,19.0,1,False,0.0,37,2,0,0.0,[1. 1.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
37,0.0,1,1.0,19.0,0,False,1.0,38,0,1,0.0,[0. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
38,1.0,1,0.0,20.0,1,False,0.0,39,2,0,0.0,[0. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
39,0.0,1,1.0,20.0,0,False,0.0,40,0,1,1.0,[0. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
40,2.0,1,0.0,21.0,1,False,0.0,41,2,0,1.0,[0. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
41,0.0,1,2.0,21.0,0,False,0.0,42,0,1,1.0,[0. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
42,2.0,1,0.0,22.0,1,False,0.0,43,2,0,1.0,[0. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
43,0.0,1,2.0,22.0,0,False,0.0,44,0,1,1.0,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
44,2.0,1,0.0,23.0,1,False,0.0,45,2,0,1.0,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
45,0.0,1,2.0,23.0,0,False,0.0,46,0,1,,[0. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
46,1.0,1,0.0,24.0,1,False,0.0,47,1,0,,[0. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
47,0.0,1,1.0,24.0,0,False,0.0,48,0,1,,[0. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
48,2.0,1,0.0,25.0,1,False,0.0,49,2,0,,[0. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
49,0.0,1,2.0,25.0,0,False,1.0,50,0,1,1.0,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
50,2.0,1,0.0,26.0,1,False,0.0,51,2,0,1.0,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
51,0.0,1,2.0,26.0,0,False,0.0,52,0,1,,[0. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
52,2.0,1,0.0,27.0,1,False,0.0,53,2,0,,[0. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
53,0.0,1,2.0,27.0,0,False,0.0,54,0,1,,[0. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
54,1.0,1,0.0,28.0,1,False,0.0,55,2,0,,[0. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
55,0.0,1,1.0,28.0,0,False,0.0,56,0,1,0.0,[0. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
56,1.0,1,0.0,29.0,1,False,0.0,57,1,0,0.0,[0. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
57,0.0,1,1.0,29.0,0,False,0.0,58,0,1,0.0,[0. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
58,1.0,1,0.0,30.0,1,False,0.0,59,2,0,0.0,[0. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
59,0.0,1,1.0,30.0,0,True,0.0,60,0,1,1.0,[1. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
0,1.0,1,0.0,1.0,1,False,0.0,1,2,0,0.0,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
1,0.0,1,1.0,1.0,0,False,1.0,2,0,1,,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
2,1.0,1,0.0,2.0,1,False,0.0,3,2,0,,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
3,0.0,1,1.0,2.0,0,False,1.0,4,0,1,0.0,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
4,1.0,1,0.0,3.0,1,False,0.0,5,2,0,0.0,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
5,0.0,1,1.0,3.0,0,False,1.0,6,0,1,1.0,[0. 0.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
6,2.0,1,0.0,4.0,1,False,0.0,7,2,0,1.0,[0. 0.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
7,0.0,1,2.0,4.0,0,False,0.0,8,0,1,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
8,1.0,1,0.0,5.0,1,False,0.0,9,2,0,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
9,0.0,1,1.0,5.0,0,False,1.0,10,0,1,1.0,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
10,2.0,1,0.0,6.0,1,False,0.0,11,2,0,1.0,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
11,0.0,1,2.0,6.0,0,False,1.0,12,0,1,,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
12,1.0,1,0.0,7.0,1,False,0.0,13,2,0,,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
13,0.0,1,1.0,7.0,0,False,1.0,14,0,1,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
14,1.0,1,0.0,8.0,1,False,0.0,15,2,0,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
15,0.0,1,1.0,8.0,0,False,0.0,16,0,1,,[1. 1.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
16,2.0,1,0.0,9.0,1,False,0.0,17,2,0,,[1. 1.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
17,0.0,1,2.0,9.0,0,False,1.0,18,0,1,,[1. 0.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
18,2.0,1,0.0,10.0,1,False,0.0,19,2,0,,[1. 0.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
19,0.0,1,2.0,10.0,0,False,0.0,20,0,1,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
20,1.0,1,0.0,11.0,1,False,0.0,21,2,0,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
21,0.0,1,1.0,11.0,0,False,0.0,22,0,1,0.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
22,1.0,1,0.0,12.0,1,False,0.0,23,1,0,0.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
23,0.0,1,1.0,12.0,0,False,0.0,24,0,1,0.0,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
24,1.0,1,0.0,13.0,1,False,0.0,25,2,0,0.0,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
25,0.0,1,1.0,13.0,0,False,1.0,26,0,1,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
26,1.0,1,0.0,14.0,1,False,0.0,27,2,0,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
27,0.0,1,1.0,14.0,0,False,0.0,28,0,1,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
28,1.0,1,0.0,15.0,1,False,0.0,29,2,0,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
29,0.0,1,1.0,15.0,0,False,0.0,30,0,1,0.0,[1. 0.],0,[1 2],0.5,[0.2 0.2],0.5,0.6
30,1.0,1,0.0,16.0,1,False,0.0,31,1,0,0.0,[1. 0.],0,[1 2],0.5,[0.2 0.2],0.5,0.6
31,0.0,1,1.0,16.0,0,False,1.0,32,0,1,0.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
32,1.0,1,0.0,17.0,1,False,0.0,33,1,0,0.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
33,0.0,1,1.0,17.0,0,False,0.0,34,0,1,1.0,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
34,2.0,1,0.0,18.0,1,False,0.0,35,1,0,1.0,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
35,0.0,1,2.0,18.0,0,False,1.0,36,0,1,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
36,2.0,1,0.0,19.0,1,False,0.0,37,1,0,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
37,0.0,1,2.0,19.0,0,False,1.0,38,0,1,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
38,2.0,1,0.0,20.0,1,False,0.0,39,1,0,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
39,0.0,1,2.0,20.0,0,False,0.0,40,0,1,1.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
40,2.0,1,0.0,21.0,1,False,0.0,41,1,0,1.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
41,0.0,1,2.0,21.0,0,False,1.0,42,0,1,,[0. 1.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
42,2.0,1,0.0,22.0,1,False,0.0,43,1,0,,[0. 1.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
43,0.0,1,2.0,22.0,0,False,1.0,44,0,1,1.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
44,2.0,1,0.0,23.0,1,False,0.0,45,1,0,1.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
45,0.0,1,2.0,23.0,0,False,0.0,46,0,1,0.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
46,1.0,1,0.0,24.0,1,False,0.0,47,1,0,0.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
47,0.0,1,1.0,24.0,0,False,0.0,48,0,1,0.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
48,1.0,1,0.0,25.0,1,False,0.0,49,2,0,0.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
49,0.0,1,1.0,25.0,0,False,0.0,50,0,1,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
50,1.0,1,0.0,26.0,1,False,0.0,51,2,0,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
51,0.0,1,1.0,26.0,0,False,0.0,52,0,1,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
52,2.0,1,0.0,27.0,1,False,0.0,53,1,0,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
53,0.0,1,2.0,27.0,0,False,1.0,54,0,1,,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
54,2.0,1,0.0,28.0,1,False,0.0,55,1,0,,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
55,0.0,1,2.0,28.0,0,False,1.0,56,0,1,1.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
56,2.0,1,0.0,29.0,1,False,0.0,57,1,0,1.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
57,0.0,1,2.0,29.0,0,False,1.0,58,0,1,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
58,2.0,1,0.0,30.0,1,False,0.0,59,1,0,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
59,0.0,1,2.0,30.0,0,True,1.0,60,0,1,0.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
0,1.0,1,0.0,1.0,1,False,0.0,1,2,0,0.0,[1. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
1,0.0,1,1.0,1.0,0,False,1.0,2,0,1,,[1. 0.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
2,1.0,1,0.0,2.0,1,False,0.0,3,2,0,,[1. 0.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
3,0.0,1,1.0,2.0,0,False,1.0,4,0,1,0.0,[0. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
4,1.0,1,0.0,3.0,1,False,0.0,5,2,0,0.0,[0. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
5,0.0,1,1.0,3.0,0,False,0.0,6,0,1,0.0,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
6,1.0,1,0.0,4.0,1,False,0.0,7,2,0,0.0,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
7,0.0,1,1.0,4.0,0,False,1.0,8,0,1,1.0,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
8,2.0,1,0.0,5.0,1,False,0.0,9,2,0,1.0,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
9,0.0,1,2.0,5.0,0,False,0.0,10,0,1,0.0,[1. 0.],1,[1 2],0.5,[0.2 0.2],0.5,0.6
10,1.0,1,0.0,6.0,1,False,0.0,11,2,0,0.0,[1. 0.],1,[1 2],0.5,[0.2 0.2],0.5,0.6
11,0.0,1,1.0,6.0,0,False,0.0,12,0,1,0.0,[1. 0.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
12,1.0,1,0.0,7.0,1,False,0.0,13,2,0,0.0,[1. 0.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
13,0.0,1,1.0,7.0,0,False,1.0,14,0,1,0.0,[0. 0.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
14,1.0,1,0.0,8.0,1,False,0.0,15,2,0,0.0,[0. 0.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
15,0.0,1,1.0,8.0,0,False,0.0,16,0,1,,[1. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
16,2.0,1,0.0,9.0,1,False,0.0,17,2,0,,[1. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
17,0.0,1,2.0,9.0,0,False,1.0,18,0,1,,[0. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
18,1.0,1,0.0,10.0,1,False,0.0,19,2,0,,[0. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
19,0.0,1,1.0,10.0,0,False,0.0,20,0,1,0.0,[1. 1.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
20,1.0,1,0.0,11.0,1,False,0.0,21,2,0,0.0,[1. 1.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
21,0.0,1,1.0,11.0,0,False,1.0,22,0,1,1.0,[0. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
22,2.0,1,0.0,12.0,1,False,0.0,23,2,0,1.0,[0. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
23,0.0,1,2.0,12.0,0,False,0.0,24,0,1,1.0,[1. 0.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
24,2.0,1,0.0,13.0,1,False,0.0,25,2,0,1.0,[1. 0.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
25,0.0,1,2.0,13.0,0,False,1.0,26,0,1,0.0,[1. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
26,1.0,1,0.0,14.0,1,False,0.0,27,2,0,0.0,[1. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
27,0.0,1,1.0,14.0,0,False,1.0,28,0,1,1.0,[0. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
28,2.0,1,0.0,15.0,1,False,0.0,29,2,0,1.0,[0. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
29,0.0,1,2.0,15.0,0,False,1.0,30,0,1,,[1. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
30,1.0,1,0.0,16.0,1,False,0.0,31,2,0,,[1. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
31,0.0,1,1.0,16.0,0,False,1.0,32,0,1,0.0,[1. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
32,1.0,1,0.0,17.0,1,False,0.0,33,2,0,0.0,[1. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
33,0.0,1,1.0,17.0,0,False,1.0,34,0,1,,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
34,1.0,1,0.0,18.0,1,False,0.0,35,2,0,,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
35,0.0,1,1.0,18.0,0,False,0.0,36,0,1,1.0,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
36,2.0,1,0.0,19.0,1,False,0.0,37,2,0,1.0,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
37,0.0,1,2.0,19.0,0,False,1.0,38,0,1,0.0,[0. 0.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
38,1.0,1,0.0,20.0,1,False,0.0,39,2,0,0.0,[0. 0.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
39,0.0,1,1.0,20.0,0,False,0.0,40,0,1,0.0,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
40,1.0,1,0.0,21.0,1,False,0.0,41,2,0,0.0,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
41,0.0,1,1.0,21.0,0,False,0.0,42,0,1,,[1. 0.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
42,1.0,1,0.0,22.0,1,False,0.0,43,2,0,,[1. 0.],1,[1 1],0.5,[0.2 0.2],0.5,0.6
43,0.0,1,1.0,22.0,0,False,1.0,44,0,1,0.0,[0. 1.],1,[1 2],0.5,[0.2 0.2],0.5,0.6
44,1.0,1,0.0,23.0,1,False,0.0,45,2,0,0.0,[0. 1.],1,[1 2],0.5,[0.2 0.2],0.5,0.6
45,0.0,1,1.0,23.0,0,False,1.0,46,0,1,,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
46,1.0,1,0.0,24.0,1,False,0.0,47,2,0,,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
47,0.0,1,1.0,24.0,0,False,1.0,48,0,1,,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
48,1.0,1,0.0,25.0,1,False,0.0,49,2,0,,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
49,0.0,1,1.0,25.0,0,False,0.0,50,0,1,0.0,[0. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
50,1.0,1,0.0,26.0,1,False,0.0,51,2,0,0.0,[0. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
51,0.0,1,1.0,26.0,0,False,0.0,52,0,1,,[0. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
52,2.0,1,0.0,27.0,1,False,0.0,53,2,0,,[0. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
53,0.0,1,2.0,27.0,0,False,1.0,54,0,1,,[0. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
54,2.0,1,0.0,28.0,1,False,0.0,55,2,0,,[0. 1.],1,[2 2],0.5,[0.2 0.2],0.5,0.6
55,0.0,1,2.0,28.0,0,False,1.0,56,0,1,,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
56,1.0,1,0.0,29.0,1,False,0.0,57,2,0,,[0. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
57,0.0,1,1.0,29.0,0,False,0.0,58,0,1,,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
58,1.0,1,0.0,30.0,1,False,0.0,59,2,0,,[1. 0.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
59,0.0,1,1.0,30.0,0,True,1.0,60,0,1,,[0. 1.],1,[2 1],0.5,[0.2 0.2],0.5,0.6
0,1.0,1,0.0,1.0,1,False,0.0,1,2,0,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
1,0.0,1,1.0,1.0,0,False,1.0,2,0,1,,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
2,1.0,1,0.0,2.0,1,False,0.0,3,2,0,,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
3,0.0,1,1.0,2.0,0,False,1.0,4,0,1,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
4,1.0,1,0.0,3.0,1,False,0.0,5,2,0,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
5,0.0,1,1.0,3.0,0,False,1.0,6,0,1,1.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
6,2.0,1,0.0,4.0,1,False,0.0,7,2,0,1.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
7,0.0,1,2.0,4.0,0,False,0.0,8,0,1,,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
8,1.0,1,0.0,5.0,1,False,0.0,9,2,0,,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
9,0.0,1,1.0,5.0,0,False,1.0,10,0,1,0.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
10,1.0,1,0.0,6.0,1,False,0.0,11,2,0,0.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
11,0.0,1,1.0,6.0,0,False,0.0,12,0,1,1.0,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
12,2.0,1,0.0,7.0,1,False,0.0,13,2,0,1.0,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
13,0.0,1,2.0,7.0,0,False,1.0,14,0,1,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
14,1.0,1,0.0,8.0,1,False,0.0,15,2,0,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
15,0.0,1,1.0,8.0,0,False,1.0,16,0,1,1.0,[1. 1.],0,[1 1],0.5,[0.2 0.2],0.5,0.6
16,2.0,1,0.0,9.0,1,False,0.0,17,2,0,1.0,[1. 1.],0,[1 1],0.5,[0.2 0.2],0.5,0.6
17,0.0,1,2.0,9.0,0,False,1.0,18,0,1,,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
18,1.0,1,0.0,10.0,1,False,0.0,19,2,0,,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
19,0.0,1,1.0,10.0,0,False,0.0,20,0,1,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
20,1.0,1,0.0,11.0,1,False,0.0,21,2,0,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
21,0.0,1,1.0,11.0,0,False,0.0,22,0,1,,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
22,1.0,1,0.0,12.0,1,False,0.0,23,2,0,,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
23,0.0,1,1.0,12.0,0,False,1.0,24,0,1,1.0,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
24,2.0,1,0.0,13.0,1,False,0.0,25,2,0,1.0,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
25,0.0,1,2.0,13.0,0,False,1.0,26,0,1,1.0,[1. 1.],0,[1 2],0.5,[0.2 0.2],0.5,0.6
26,2.0,1,0.0,14.0,1,False,0.0,27,2,0,1.0,[1. 1.],0,[1 2],0.5,[0.2 0.2],0.5,0.6
27,0.0,1,2.0,14.0,0,False,1.0,28,0,1,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
28,1.0,1,0.0,15.0,1,False,0.0,29,2,0,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
29,0.0,1,1.0,15.0,0,False,0.0,30,0,1,0.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
30,1.0,1,0.0,16.0,1,False,0.0,31,2,0,0.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
31,0.0,1,1.0,16.0,0,False,0.0,32,0,1,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
32,1.0,1,0.0,17.0,1,False,0.0,33,2,0,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
33,0.0,1,1.0,17.0,0,False,1.0,34,0,1,1.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
34,2.0,1,0.0,18.0,1,False,0.0,35,2,0,1.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
35,0.0,1,2.0,18.0,0,False,0.0,36,0,1,0.0,[0. 1.],0,[1 2],0.5,[0.2 0.2],0.5,0.6
36,1.0,1,0.0,19.0,1,False,0.0,37,2,0,0.0,[0. 1.],0,[1 2],0.5,[0.2 0.2],0.5,0.6
37,0.0,1,1.0,19.0,0,False,1.0,38,0,1,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
38,1.0,1,0.0,20.0,1,False,0.0,39,2,0,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
39,0.0,1,1.0,20.0,0,False,1.0,40,0,1,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
40,1.0,1,0.0,21.0,1,False,0.0,41,2,0,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
41,0.0,1,1.0,21.0,0,False,0.0,42,0,1,0.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
42,1.0,1,0.0,22.0,1,False,0.0,43,2,0,0.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
43,0.0,1,1.0,22.0,0,False,0.0,44,0,1,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
44,1.0,1,0.0,23.0,1,False,0.0,45,2,0,,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
45,0.0,1,1.0,23.0,0,False,0.0,46,0,1,1.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
46,2.0,1,0.0,24.0,1,False,0.0,47,1,0,1.0,[0. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
47,0.0,1,2.0,24.0,0,False,1.0,48,0,1,1.0,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
48,2.0,1,0.0,25.0,1,False,0.0,49,1,0,1.0,[1. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
49,0.0,1,2.0,25.0,0,False,0.0,50,0,1,,[1. 0.],0,[1 1],0.5,[0.2 0.2],0.5,0.6
50,1.0,1,0.0,26.0,1,False,0.0,51,1,0,,[1. 0.],0,[1 1],0.5,[0.2 0.2],0.5,0.6
51,0.0,1,1.0,26.0,0,False,1.0,52,0,1,0.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
52,1.0,1,0.0,27.0,1,False,0.0,53,1,0,0.0,[0. 0.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
53,0.0,1,1.0,27.0,0,False,0.0,54,0,1,,[1. 1.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
54,2.0,1,0.0,28.0,1,False,0.0,55,1,0,,[1. 1.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
55,0.0,1,2.0,28.0,0,False,1.0,56,0,1,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
56,2.0,1,0.0,29.0,1,False,0.0,57,1,0,,[1. 1.],0,[2 1],0.5,[0.2 0.2],0.5,0.6
57,0.0,1,2.0,29.0,0,False,1.0,58,0,1,,[1. 1.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
58,2.0,1,0.0,30.0,1,False,0.0,59,1,0,,[1. 1.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
59,0.0,1,2.0,30.0,0,True,1.0,60,0,1,,[1. 1.],0,[2 2],0.5,[0.2 0.2],0.5,0.6
