,obs,blockID,reward,action,stage,trialID,is_done,obs_next,t,tot_t,randomplanet,highstate,transition,rewardplanet,p_reward_high,p_ambiguity,p_trans,p_reward_low
21,2.0,1,1.0,0,1,22,False,2.0,0,22,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
22,2.0,1,0.0,0,1,23,False,2.0,0,23,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
23,2.0,1,1.0,0,1,24,False,2.0,0,24,,1,[2 2],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
24,2.0,1,0.0,0,1,25,False,2.0,0,25,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
25,2.0,1,1.0,0,1,26,False,2.0,0,26,,1,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
26,2.0,1,0.0,0,1,27,False,2.0,0,27,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
27,2.0,1,0.0,0,1,28,False,2.0,0,28,,1,[2 2],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
28,2.0,1,0.0,1,1,29,False,2.0,0,29,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
29,2.0,1,1.0,1,1,30,True,1.0,0,30,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
0,1.0,1,1.0,0,1,1,False,2.0,0,1,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
1,2.0,1,1.0,0,1,2,False,2.0,0,2,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
2,2.0,1,1.0,0,1,3,False,2.0,0,3,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
3,2.0,1,1.0,0,1,4,False,2.0,0,4,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
4,2.0,1,1.0,0,1,5,False,2.0,0,5,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
5,2.0,1,1.0,0,1,6,False,2.0,0,6,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
6,2.0,1,0.0,0,1,7,False,2.0,0,7,,1,[2 2],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
7,2.0,1,1.0,0,1,8,False,2.0,0,8,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
8,2.0,1,0.0,0,1,9,False,2.0,0,9,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
9,2.0,1,1.0,0,1,10,False,2.0,0,10,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
10,2.0,1,1.0,0,1,11,False,2.0,0,11,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
11,2.0,1,0.0,0,1,12,False,2.0,0,12,,1,[1 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
12,2.0,1,0.0,0,1,13,False,1.0,0,13,,1,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
13,1.0,1,0.0,0,1,14,False,2.0,0,14,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
14,2.0,1,1.0,0,1,15,False,2.0,0,15,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
15,2.0,1,1.0,0,1,16,False,2.0,0,16,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
16,2.0,1,0.0,0,1,17,False,2.0,0,17,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
17,2.0,1,1.0,0,1,18,False,2.0,0,18,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
18,2.0,1,1.0,0,1,19,False,2.0,0,19,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
19,2.0,1,0.0,0,1,20,False,2.0,0,20,,1,[2 2],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
20,2.0,1,1.0,0,1,21,False,2.0,0,21,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
21,2.0,1,1.0,0,1,22,False,2.0,0,22,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
22,2.0,1,1.0,0,1,23,False,2.0,0,23,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
23,2.0,1,1.0,0,1,24,False,2.0,0,24,,1,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
24,2.0,1,0.0,0,1,25,False,2.0,0,25,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
25,2.0,1,1.0,0,1,26,False,2.0,0,26,,1,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
26,2.0,1,0.0,0,1,27,False,2.0,0,27,,1,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
27,2.0,1,0.0,0,1,28,False,2.0,0,28,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
28,2.0,1,1.0,0,1,29,False,2.0,0,29,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
29,2.0,1,1.0,0,1,30,True,2.0,0,30,,1,[1 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
0,2.0,1,1.0,0,1,1,False,2.0,0,1,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
1,2.0,1,0.0,0,1,2,False,2.0,0,2,,0,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
2,2.0,1,0.0,0,1,3,False,2.0,0,3,,0,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
3,2.0,1,0.0,1,1,4,False,2.0,0,4,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
4,2.0,1,0.0,1,1,5,False,1.0,0,5,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
5,1.0,1,1.0,1,1,6,False,1.0,0,6,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
6,1.0,1,1.0,1,1,7,False,1.0,0,7,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
7,1.0,1,1.0,1,1,8,False,1.0,0,8,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
8,1.0,1,0.0,1,1,9,False,1.0,0,9,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
9,1.0,1,1.0,1,1,10,False,1.0,0,10,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
10,1.0,1,1.0,1,1,11,False,1.0,0,11,,0,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
11,1.0,1,0.0,1,1,12,False,1.0,0,12,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
12,1.0,1,1.0,1,1,13,False,1.0,0,13,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
13,1.0,1,0.0,1,1,14,False,1.0,0,14,,0,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
14,1.0,1,0.0,1,1,15,False,1.0,0,15,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
15,1.0,1,1.0,1,1,16,False,1.0,0,16,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
16,1.0,1,1.0,1,1,17,False,1.0,0,17,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
17,1.0,1,1.0,1,1,18,False,1.0,0,18,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
18,1.0,1,1.0,1,1,19,False,1.0,0,19,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
19,1.0,1,1.0,1,1,20,False,1.0,0,20,,0,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
20,1.0,1,0.0,1,1,21,False,1.0,0,21,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
21,1.0,1,1.0,1,1,22,False,1.0,0,22,,0,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
22,1.0,1,0.0,1,1,23,False,1.0,0,23,,0,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
23,1.0,1,0.0,1,1,24,False,1.0,0,24,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
24,1.0,1,1.0,1,1,25,False,1.0,0,25,,0,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
25,1.0,1,0.0,1,1,26,False,2.0,0,26,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
26,2.0,1,0.0,1,1,27,False,1.0,0,27,,0,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
27,1.0,1,0.0,1,1,28,False,1.0,0,28,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
28,1.0,1,0.0,0,1,29,False,2.0,0,29,,0,[2 2],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
29,2.0,1,1.0,1,1,30,True,2.0,0,30,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
0,2.0,1,0.0,0,1,1,False,2.0,0,1,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
1,2.0,1,0.0,1,1,2,False,1.0,0,2,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
2,1.0,1,1.0,1,1,3,False,1.0,0,3,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
3,1.0,1,0.0,1,1,4,False,1.0,0,4,,1,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
4,1.0,1,1.0,1,1,5,False,1.0,0,5,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
5,1.0,1,1.0,1,1,6,False,1.0,0,6,,1,[2 2],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
6,1.0,1,1.0,1,1,7,False,2.0,0,7,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
7,2.0,1,1.0,1,1,8,False,1.0,0,8,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
8,1.0,1,1.0,1,1,9,False,1.0,0,9,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
9,1.0,1,0.0,1,1,10,False,1.0,0,10,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
10,1.0,1,0.0,1,1,11,False,1.0,0,11,,1,[1 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
11,1.0,1,0.0,1,1,12,False,1.0,0,12,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
12,1.0,1,0.0,0,1,13,False,2.0,0,13,,1,[2 2],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
13,2.0,1,0.0,1,1,14,False,2.0,0,14,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
14,2.0,1,1.0,1,1,15,False,1.0,0,15,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
15,1.0,1,0.0,1,1,16,False,1.0,0,16,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
16,1.0,1,0.0,1,1,17,False,1.0,0,17,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
17,1.0,1,1.0,1,1,18,False,1.0,0,18,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
18,1.0,1,1.0,1,1,19,False,1.0,0,19,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
19,1.0,1,0.0,1,1,20,False,1.0,0,20,,1,[1 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
20,1.0,1,1.0,1,1,21,False,1.0,0,21,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
21,1.0,1,0.0,1,1,22,False,1.0,0,22,,1,[1 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
22,1.0,1,0.0,1,1,23,False,1.0,0,23,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
23,1.0,1,0.0,1,1,24,False,1.0,0,24,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
24,1.0,1,0.0,0,1,25,False,2.0,0,25,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
25,2.0,1,1.0,1,1,26,False,1.0,0,26,,1,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
26,1.0,1,1.0,1,1,27,False,1.0,0,27,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
27,1.0,1,1.0,1,1,28,False,1.0,0,28,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
28,1.0,1,0.0,1,1,29,False,1.0,0,29,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
29,1.0,1,0.0,1,1,30,True,1.0,0,30,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
0,1.0,1,0.0,0,1,1,False,2.0,0,1,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
1,2.0,1,1.0,1,1,2,False,1.0,0,2,,0,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
2,1.0,1,0.0,1,1,3,False,2.0,0,3,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
3,2.0,1,0.0,1,1,4,False,1.0,0,4,,0,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
4,1.0,1,0.0,1,1,5,False,2.0,0,5,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
5,2.0,1,0.0,1,1,6,False,1.0,0,6,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
6,1.0,1,1.0,1,1,7,False,1.0,0,7,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
7,1.0,1,1.0,1,1,8,False,1.0,0,8,,0,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
8,1.0,1,0.0,1,1,9,False,1.0,0,9,,0,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
9,1.0,1,0.0,1,1,10,False,2.0,0,10,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
10,2.0,1,1.0,1,1,11,False,1.0,0,11,,0,[1 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
11,1.0,1,1.0,1,1,12,False,1.0,0,12,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
12,1.0,1,1.0,1,1,13,False,1.0,0,13,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
13,1.0,1,0.0,1,1,14,False,1.0,0,14,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
14,1.0,1,1.0,1,1,15,False,1.0,0,15,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
15,1.0,1,1.0,1,1,16,False,1.0,0,16,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
16,1.0,1,1.0,1,1,17,False,1.0,0,17,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
17,1.0,1,0.0,1,1,18,False,1.0,0,18,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
18,1.0,1,1.0,1,1,19,False,1.0,0,19,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
19,1.0,1,0.0,1,1,20,False,1.0,0,20,,0,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
20,1.0,1,0.0,1,1,21,False,2.0,0,21,,0,[1 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
21,2.0,1,1.0,1,1,22,False,1.0,0,22,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
22,1.0,1,1.0,1,1,23,False,1.0,0,23,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
23,1.0,1,0.0,1,1,24,False,1.0,0,24,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
24,1.0,1,0.0,1,1,25,False,1.0,0,25,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
25,1.0,1,1.0,1,1,26,False,1.0,0,26,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
26,1.0,1,0.0,1,1,27,False,1.0,0,27,,0,[1 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
27,1.0,1,1.0,1,1,28,False,1.0,0,28,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
28,1.0,1,0.0,1,1,29,False,1.0,0,29,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
29,1.0,1,1.0,1,1,30,True,1.0,0,30,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
0,1.0,1,1.0,0,1,1,False,2.0,0,1,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
1,2.0,1,1.0,0,1,2,False,2.0,0,2,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
2,2.0,1,1.0,0,1,3,False,2.0,0,3,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
3,2.0,1,1.0,0,1,4,False,2.0,0,4,,1,[2 2],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
4,2.0,1,1.0,0,1,5,False,2.0,0,5,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
5,2.0,1,0.0,0,1,6,False,2.0,0,6,,1,[1 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
6,2.0,1,1.0,0,1,7,False,1.0,0,7,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
7,1.0,1,1.0,0,1,8,False,2.0,0,8,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
8,2.0,1,1.0,0,1,9,False,2.0,0,9,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
9,2.0,1,0.0,0,1,10,False,2.0,0,10,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
10,2.0,1,1.0,0,1,11,False,2.0,0,11,,1,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
11,2.0,1,0.0,0,1,12,False,2.0,0,12,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
12,2.0,1,1.0,0,1,13,False,2.0,0,13,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
13,2.0,1,1.0,0,1,14,False,2.0,0,14,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
14,2.0,1,1.0,0,1,15,False,2.0,0,15,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
15,2.0,1,1.0,0,1,16,False,2.0,0,16,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
16,2.0,1,1.0,0,1,17,False,2.0,0,17,,1,[2 2],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
17,2.0,1,1.0,0,1,18,False,2.0,0,18,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
18,2.0,1,0.0,0,1,19,False,2.0,0,19,,1,[2 2],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
19,2.0,1,1.0,0,1,20,False,2.0,0,20,,1,[2 2],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
20,2.0,1,0.0,0,1,21,False,2.0,0,21,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
21,2.0,1,0.0,0,1,22,False,2.0,0,22,,1,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
22,2.0,1,0.0,1,1,23,False,1.0,0,23,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
23,1.0,1,1.0,0,1,24,False,2.0,0,24,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
24,2.0,1,1.0,0,1,25,False,2.0,0,25,,1,[1 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
25,2.0,1,0.0,0,1,26,False,1.0,0,26,,1,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
26,1.0,1,1.0,0,1,27,False,2.0,0,27,,1,[2 2],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
27,2.0,1,1.0,0,1,28,False,2.0,0,28,,1,[2 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
28,2.0,1,1.0,0,1,29,False,2.0,0,29,,1,[1 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
29,2.0,1,0.0,0,1,30,True,1.0,0,30,,1,[2 2],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
0,1.0,1,1.0,1,1,1,False,1.0,0,1,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
1,1.0,1,0.0,0,1,2,False,2.0,0,2,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
2,2.0,1,1.0,0,1,3,False,2.0,0,3,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
3,2.0,1,1.0,1,1,4,False,1.0,0,4,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
4,1.0,1,1.0,1,1,5,False,1.0,0,5,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
5,1.0,1,0.0,1,1,6,False,1.0,0,6,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
6,1.0,1,1.0,1,1,7,False,1.0,0,7,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
7,1.0,1,1.0,1,1,8,False,1.0,0,8,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
8,1.0,1,1.0,1,1,9,False,1.0,0,9,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
9,1.0,1,1.0,1,1,10,False,1.0,0,10,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
10,1.0,1,1.0,1,1,11,False,1.0,0,11,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
11,1.0,1,1.0,1,1,12,False,1.0,0,12,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
12,1.0,1,1.0,1,1,13,False,1.0,0,13,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
13,1.0,1,1.0,1,1,14,False,1.0,0,14,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
14,1.0,1,1.0,1,1,15,False,1.0,0,15,,0,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
15,1.0,1,0.0,1,1,16,False,2.0,0,16,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
16,2.0,1,1.0,1,1,17,False,1.0,0,17,,0,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
17,1.0,1,0.0,1,1,18,False,2.0,0,18,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
18,2.0,1,0.0,1,1,19,False,1.0,0,19,,0,[2 2],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
19,1.0,1,0.0,1,1,20,False,2.0,0,20,,0,[1 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
20,2.0,1,1.0,1,1,21,False,1.0,0,21,,0,[1 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
21,1.0,1,1.0,1,1,22,False,1.0,0,22,,0,[1 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
22,1.0,1,0.0,1,1,23,False,1.0,0,23,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
23,1.0,1,1.0,1,1,24,False,1.0,0,24,,0,[2 1],[1. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
24,1.0,1,1.0,1,1,25,False,1.0,0,25,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
25,1.0,1,1.0,1,1,26,False,1.0,0,26,,0,[2 1],[0. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
26,1.0,1,0.0,1,1,27,False,1.0,0,27,,0,[1 1],[0. 1.],0.7,0.0,[0.1 0.1],0.30000000000000004
27,1.0,1,0.0,1,1,28,False,1.0,0,28,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
28,1.0,1,1.0,1,1,29,False,1.0,0,29,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
29,1.0,1,1.0,1,1,30,True,1.0,0,30,,0,[2 1],[1. 0.],0.7,0.0,[0.1 0.1],0.30000000000000004
0,1.0,1,1.0,0,1,1,False,1.0,0,1,,0,[1 2],[1. 0.],0.7,0.0,[0.9 0.9],0.30000000000000004
1,1.0,1,1.0,0,1,2,False,1.0,0,2,,0,[1 2],[0. 0.],0.7,0.0,[0.9 0.9],0.30000000000000004
2,1.0,1,0.0,0,1,3,False,1.0,0,3,,0,[1 2],[1. 0.],0.7,0.0,[0.9 0.9],0.30000000000000004
3,1.0,1,1.0,0,1,4,False,1.0,0,4,,0,[1 1],[0. 1.],0.7,0.0,[0.9 0.9],0.30000000000000004
4,1.0,1,0.0,0,1,5,False,1.0,0,5,,0,[1 2],[0. 0.],0.7,0.0,[0.9 0.9],0.30000000000000004
5,1.0,1,0.0,0,1,6,False,1.0,0,6,,0,[1 2],[1. 1.],0.7,0.0,[0.9 0.9],0.30000000000000004
6,1.0,1,1.0,1,1,7,False,2.0,0,7,,0,[1 2],[1. 0.],0.7,0.0,[0.9 0.9],0.30000000000000004
7,2.0,1,0.0,1,1,8,False,2.0,0,8,,0,[1 1],[1. 0.],0.7,0.0,[0.9 0.9],0.30000000000000004
8,2.0,1,1.0,1,1,9,False,1.0,0,9,,0,[1 1],[1. 1.],0.7,0.0,[0.9 0.9],0.30000000000000004
9,1.0,1,1.0,0,1,10,False,1.0,0,10,,0,[1 2],[1. 1.],0.7,0.0,[0.9 0.9],0.30000000000000004
10,1.0,1,1.0,0,1,11,False,1.0,0,11,,0,[1 2],[1. 0.],0.7,0.0,[0.9 0.9],0.30000000000000004
11,1.0,1,1.0,0,1,12,False,1.0,0,12,,0,[1 2],[0. 0.],0.7,0.0,[0.9 0.9],0.30000000000000004
